Type,Ending,Year,EUR,PKR,CNY,INR,HKD,ZAR,IDR,KRW,MYR,PHP,TWD,THB,VND,SAR,ARS,HUF,KWD,MXN,PLN,BRL,QAR,RUB,CLP,TRY,,,,,,,,,,,
BS,June,30-Jun-14,1.3692,0.0101297,0.16117,0.016655,0.12903,0.094001,0.000084282,0.0009882,0.3114,0.022928,0.033478,0.030826,0.000046839,0.2666,0.123,0.00442,3.5537,0.0771,0.3293,0.4518,0.2747,0.02942,0.18101,0.47206,,,,,,,,,,,
BS,June,30-Jun-15,1.1147,0.0098184,0.16108,0.015722,0.12901,0.082172,0.000074901,0.0008928,0.2666,0.022178,0.032369,0.029588,0.000045791,0.2666,0.1099,0.00353,3.3069,0.06354,0.2658,0.3222,0.2746,0.01807,0.15643,0.37295,,,,,,,,,,,
BS,June,30-Jun-16,1.1106,0.0095465,0.15057,0.014813,0.12889,0.067931,0.000075913,0.0008674,0.2506,0.021231,0.031045,0.028468,0.000044835,0.2666,0.0665,0.00352,3.3117,0.05429,0.2537,0.3112,0.2746,0.01563,0.15113,0.34747,,,,,,,,,,,
BS,June,30-Jun-17,1.1426,0.0095374,0.1475,0.015477,0.12809,0.076374,0.000074993,0.000873,0.2328,0.019818,0.032891,0.02949,0.000044014,0.2666,0.0602,0.0037,3.3,0.05516,0.2702,0.3023,0.2678,0.01712,0.15059,0.28416,,,,,,,,,,,
BS,June,30-Jun-18,1.1684,0.0082338,0.151,0.014608,0.12744,0.07287,0.000070086,0.0008969,0.248,0.018726,0.032809,0.030273,0.000043564,0.2666,0.0346,0.00355,3.303,0.05022,0.2673,0.2579,0.2738,0.01595,0.15292,0.21795,,,,,,,,,,,
BS,June,30-Jun-19,1.1373,0.0061303,0.14563,0.014502,0.12798,0.070998,0.00007082,0.0008649,0.242,0.019505,0.032295,0.03259,0.000042912,0.2659,0.0235,0.00352,3.2949,0.05203,0.2683,0.2598,0.2733,0.0158,0.1476,0.17264,,,,,,,,,,,
BS,June,30-Jun-20,1.1234,0.0059509,0.14153,0.013235,0.12902,0.05764,0.00006918,0.0008339,0.2334,0.020096,0.033826,0.032347,0.00004311,0.2666,0.0142,0.00317,3.2486,0.04346,0.2526,0.183,0.2727,0.01404,0.12225,0.14588,,,,,,,,,,,
BS,September,30-Sep-14,1.2631,0.009745,0.1629,0.016151,0.12878,0.088614,0.000082021,0.0009447,0.3046,0.022267,0.032868,0.030839,0.000047156,0.2666,0.1186,0.00406,3.4725,0.07447,0.302,0.409,0.2746,0.02526,0.16713,0.43896,,,,,,,,,,,
BS,September,30-Sep-15,1.1177,0.009574,0.15732,0.015253,0.12903,0.07218,0.000068481,0.0008437,0.2277,0.021404,0.030326,0.027491,0.000044489,0.2666,0.1061,0.00357,3.3084,0.05911,0.2632,0.2533,0.2746,0.01529,0.14361,0.33046,,,,,,,,,,,
BS,September,30-Sep-16,1.1235,0.0095689,0.15006,0.015024,0.12893,0.072873,0.000076658,0.0009075,0.2423,0.020661,0.031964,0.028898,0.000044843,0.2665,0.0651,0.00365,3.318,0.05158,0.2616,0.3067,0.2746,0.0159,0.15206,0.33323,,,,,,,,,,,
BS,September,30-Sep-17,1.1814,0.0094868,0.15075,0.015303,0.12804,0.073755,0.000074267,0.0008731,0.2368,0.01965,0.03297,0.03002,0.000043995,0.2667,0.0578,0.00379,3.311,0.05478,0.2739,0.3162,0.2746,0.01739,0.15624,0.28063,,,,,,,,,,,
BS,September,30-Sep-18,1.1604,0.008092,0.14558,0.013785,0.12773,0.070741,0.000067108,0.0009008,0.2416,0.018507,0.032839,0.030936,0.000042882,0.2667,0.0242,0.00359,3.3006,0.05343,0.271,0.2469,0.2734,0.01525,0.15201,0.16515,,,,,,,,,,,
BS,September,30-Sep-19,1.0899,0.0063627,0.13989,0.014155,0.12757,0.066058,0.000070525,0.000834,0.2388,0.019299,0.032204,0.03269,0.000043099,0.2666,0.0174,0.00325,3.2859,0.05067,0.2493,0.2405,0.2732,0.01542,0.13721,0.17703,,,,,,,,,,,
BS,September,30-Sep-20,1.1721,0.0060285,0.14725,0.01355,0.12903,0.059701,0.000067216,0.0008585,0.2407,0.020646,0.034521,0.031643,0.000043134,0.2666,0.0131,0.00322,3.2637,0.04522,0.2586,0.1783,0.2719,0.01288,0.1273,0.12955,,,,,,,,,,,
BS,May,31-May-14,1.3635,0.0101317,0.16006,0.016862,0.12898,0.094571,0.000085653,0.0009789,0.3105,0.022813,0.033285,0.030474,0.000047304,0.2666,0.1238,0.0045,3.5479,0.07777,0.329,0.4462,0.2747,0.02865,0.18197,0.47686,,,,,,,,,,,
